Name_From,Pronouns_From,Name_To,Pronouns_To
Jaime Ortiz,they/them,Amy Oliver,they/them
Jaime Ortiz,they/them,Gary Griffin,she/they
Jaime Ortiz,they/them,Wayne Thompson,she/her
Jaime Ortiz,they/them,Timothy Bowen,she/they
Dr. Michael Lopez,xe/xer,Wayne Thompson,she/her
Dr. Michael Lopez,xe/xer,Robert Terrell,xe/xer
Dr. Michael Lopez,xe/xer,Lisa Berry,he/they
Dr. Michael Lopez,xe/xer,Oscar Chavez,xe/xer
Dale Everett,she/they,Ashlee Campos,he/they
Dale Everett,she/they,Sara Gonzalez,he/they
Dale Everett,she/they,Nathaniel Fisher,they/them
Dale Everett,she/they,Ashley Flores,she/they
Dale Everett,she/they,Jamie Medina DDS,he/they
Keith Miller,he/they,Carol Jefferson,they/them
Keith Miller,he/they,Ricky Werner,he/him
Keith Miller,he/they,Melissa Barker,she/they
Keith Miller,he/they,Melissa Barker,she/they
Keith Miller,he/they,Megan Hoover,xe/xer
Miranda Lee,xe/xer,Nancy Swanson,she/her
Miranda Lee,xe/xer,Samantha Berry,he/him
Miranda Lee,xe/xer,Kimberly Kane,he/they
Miranda Lee,xe/xer,Lisa Wyatt,he/they
Christopher Moreno,she/her,Emily Allen,she/her
Christopher Moreno,she/her,Jennifer Ingram,they/them
Christopher Moreno,she/her,Andrew Garcia,she/her
Christopher Moreno,she/her,Diana Torres,she/they
Christopher Moreno,she/her,Anthony Crane,xe/xer
Matthew Soto,xe/xer,Christina Lewis,xe/xer
Matthew Soto,xe/xer,Richard Acosta,he/him
Matthew Soto,xe/xer,Natasha Lewis,she/her
Jeanne Fritz,xe/xer,Alexis Carter,xe/xer
Jeanne Fritz,xe/xer,Valerie Jones,he/they
Jeanne Fritz,xe/xer,Destiny Simon,they/them
Matthew Fields,she/they,Nancy Swanson,she/her
Matthew Fields,she/they,Albert George,she/they
Matthew Fields,she/they,Fernando Campbell,she/her
Matthew Fields,she/they,Hannah Chan,she/they
Matthew Fields,she/they,Natasha Lewis,she/her
Matthew Fields,she/they,Sarah Perez,he/they
Mary Lewis,she/they,Ashley Flores,she/they
Mary Lewis,she/they,Hannah Mitchell,she/her
Mary Lewis,she/they,Christopher Brown,she/her
Mary Lewis,she/they,Amy Jordan MD,she/her
Mary Lewis,she/they,Christopher Brown,she/her
Mary Lewis,she/they,Robin Cooke,he/they
Theresa Byrd,xe/xer,Matthew Soto,xe/xer
Theresa Byrd,xe/xer,Harold Campbell,she/they
Theresa Byrd,xe/xer,Ryan Burnett,he/they
Theresa Byrd,xe/xer,Alyssa Terry,xe/xer
Briana Anderson,she/they,Richard Johnson,she/her
Briana Anderson,she/they,Laura Jones,they/them
Briana Anderson,she/they,Caroline Lopez,she/they
Briana Anderson,she/they,Anna Wood,she/they
Briana Anderson,she/they,Keith Miller,he/they
Briana Anderson,she/they,Donna Cole DVM,he/they
Robert Burke,he/they,Timothy Bowen,she/they
Robert Burke,he/they,Gordon Jones,she/they
Robert Burke,he/they,Richard Mills,he/him
Robert Burke,he/they,Phillip Murphy MD,she/they
Robert Burke,he/they,Sarah Perez,he/they
Robert Burke,he/they,Christopher Ray,he/they
Albert George,she/they,Kimberly Little,she/her
Albert George,she/they,Joshua Elliott,he/they
Albert George,she/they,Kelly Henry,they/them
Albert George,she/they,Christopher Brown,she/her
Shelly Wilcox,xe/xer,Matthew Kelley,he/him
Shelly Wilcox,xe/xer,James Tran,she/they
Shelly Wilcox,xe/xer,Oscar Chavez,xe/xer
James Taylor,xe/xer,Nathaniel Fisher,they/them
James Taylor,xe/xer,Timothy Berry,they/them
James Taylor,xe/xer,Richard Johnson,she/her
Lisa Wyatt,he/they,Jared Mills,she/her
Lisa Wyatt,he/they,Shelly Wilcox,xe/xer
Lisa Wyatt,he/they,Karl Klein,he/they
Lisa Wyatt,he/they,Cheyenne Torres,he/him
Lisa Wyatt,he/they,Ryan Andrade,she/they
Albert Barton,xe/xer,Joanne Stone,they/them
Albert Barton,xe/xer,Zachary Espinoza,she/her
Albert Barton,xe/xer,Jimmy May,xe/xer
Andrew Garcia,she/her,Nancy Swanson,she/her
Andrew Garcia,she/her,Vicki Gonzalez,he/they
Andrew Garcia,she/her,Briana Anderson,she/they
Andrew Garcia,she/her,Crystal Frazier,she/they
Andrew Garcia,she/her,Jay Lee,she/her
Andrew Garcia,she/her,Jay Lee,she/her
Laura Jones,they/them,Timothy Bowen,she/they
Laura Jones,they/them,Scott Garcia,she/they
Laura Jones,they/them,William White,they/them
Laura Jones,they/them,Carlos House,she/they
Laura Jones,they/them,Erin Patel,she/her
Fernando Campbell,she/her,Thomas Hall,they/them
Fernando Campbell,she/her,Melissa Cabrera,he/they
Fernando Campbell,she/her,Michael Li Jr.,they/them
Fernando Campbell,she/her,Amber Smith,she/they
Fernando Campbell,she/her,Michael Baker,she/her
Christina Lewis,xe/xer,Matthew Soto,xe/xer
Christina Lewis,xe/xer,Samantha Berry,he/him
Christina Lewis,xe/xer,Richard Mills,he/him
Christina Lewis,xe/xer,David Sanchez,he/him
Christina Lewis,xe/xer,Pamela Taylor,he/they
Christina Lewis,xe/xer,Richard Acosta,he/him
Donna Dickerson,she/they,Elizabeth Jenkins,she/they
Donna Dickerson,she/they,Jesse Martinez,xe/xer
Donna Dickerson,she/they,Matthew Fields,she/they
Donna Dickerson,she/they,Daniel Matthews,she/they
Donna Dickerson,she/they,Scott Haynes,he/they
Donna Dickerson,she/they,Sheila David,xe/xer
Sarah Perez,he/they,Nathaniel Fisher,they/them
Sarah Perez,he/they,Daniel Obrien,he/him
Sarah Perez,he/they,Nathaniel Johnson,she/they
Tiffany Lewis,she/they,Thomas Hall,they/them
Tiffany Lewis,she/they,Robert Edwards,they/them
Tiffany Lewis,she/they,Ashlee Campos,he/they
Tiffany Lewis,she/they,Emily Allen,she/her
Tiffany Lewis,she/they,Alyssa Terry,xe/xer
Tiffany Lewis,she/they,Thomas Hall,they/them
Paul Saunders,he/they,Brittany Wilson,she/they
Paul Saunders,he/they,Samantha Berry,he/him
Paul Saunders,he/they,Edward Solis,she/they
Paul Saunders,he/they,Amy Jordan MD,she/her
Paul Saunders,he/they,Fernando Campbell,she/her
Paul Saunders,he/they,Joshua Elliott,he/they
Brianna Kelly,he/him,Laura Webb,she/her
Brianna Kelly,he/him,Robert Edwards,they/them
Brianna Kelly,he/him,Kelly Nelson,they/them
Brianna Kelly,he/him,Cheyenne Torres,he/him
Vicki Gonzalez,he/they,Daniel Matthews,she/they
Vicki Gonzalez,he/they,Tiffany Lewis,she/they
Vicki Gonzalez,he/they,William White,they/them
Andrea Hernandez,they/them,Jessica Wiley,she/her
Andrea Hernandez,they/them,David Sanchez,he/him
Andrea Hernandez,they/them,Jacob Burton,she/her
Andrea Hernandez,they/them,Sean Lopez,they/them
Andrea Hernandez,they/them,Lance Butler,she/they
Gloria Brown,they/them,Karen Adams,she/they
Gloria Brown,they/them,Molly Gilmore,xe/xer
Gloria Brown,they/them,Ryan Andrade,she/they
Gloria Brown,they/them,Richard Johnson,she/her
Gloria Brown,they/them,Carmen Howell,he/they
Gloria Brown,they/them,Anna Valdez,they/them
Mr. Randy Ryan DDS,xe/xer,Joshua Elliott,he/they
Mr. Randy Ryan DDS,xe/xer,Danielle Hoffman,xe/xer
Mr. Randy Ryan DDS,xe/xer,Michele Mitchell,she/her
Mr. Randy Ryan DDS,xe/xer,Kelly Henry,they/them
Mr. Randy Ryan DDS,xe/xer,Jared Mills,she/her
Katrina Lawrence,xe/xer,Karl Klein,he/they
Katrina Lawrence,xe/xer,David Young,she/they
Katrina Lawrence,xe/xer,Jennifer Harris,she/her
Sean Lopez,they/them,Diane Martinez,he/they
Sean Lopez,they/them,Teresa Smith,she/her
Sean Lopez,they/them,Jamie Medina DDS,he/they
Sean Lopez,they/them,Mr. Randy Ryan DDS,xe/xer
Sean Lopez,they/them,Bridget Garcia,he/they
Sean Lopez,they/them,Joanna Hanson,he/they
Theresa Contreras,he/him,Lindsay Combs,xe/xer
Theresa Contreras,he/him,Mark Thompson,xe/xer
Theresa Contreras,he/him,Sara Sanders,he/they
Theresa Contreras,he/him,Dana Webb,he/they
Robert Terry,she/her,Mary Lewis,she/they
Robert Terry,she/her,Walter Coleman,she/her
Robert Terry,she/her,Brian Myers,they/them
Robert Terry,she/her,Leslie Miller,they/them
Robert Terry,she/her,Ashley Flores,she/they
Robert Terry,she/her,Keith Miller,he/they
Terry Rosales,they/them,Laura Jones,they/them
Terry Rosales,they/them,Theresa Contreras,he/him
Terry Rosales,they/them,Jennifer Morales,she/they
Terry Rosales,they/them,Laura Webb,she/her
Ryan Andrade,she/they,Matthew Bradley,she/her
Ryan Andrade,she/they,David Young,she/they
Ryan Andrade,she/they,Sherri Spencer,he/they
Eugene Harris,he/him,Carmen Howell,he/they
Eugene Harris,he/him,Richard Acosta,he/him
Eugene Harris,he/him,David Sanchez,he/him
Eugene Harris,he/him,Robert Terrell,xe/xer
Rachel Perez,he/they,Beth Duran,he/they
Rachel Perez,he/they,Melissa Brown,she/they
Rachel Perez,he/they,Kelly Henry,they/them
Hannah Chan,she/they,Joanna Hanson,he/they
Hannah Chan,she/they,Ellen Owens,she/they
Hannah Chan,she/they,Erin Patel,she/her
Hannah Chan,she/they,Tara Davidson,they/them
Hannah Chan,she/they,Sabrina Gallegos,she/her
Hannah Chan,she/they,Briana Anderson,she/they
Jonathan Carey,he/him,Jaime Ortiz,they/them
Jonathan Carey,he/him,Richard Acosta,he/him
Jonathan Carey,he/him,Joseph Patel,he/him
Jonathan Carey,he/him,Mitchell Taylor,xe/xer
Jennifer Riddle,she/they,Dominique Harris,they/them
Jennifer Riddle,she/they,Robert Edwards,they/them
Jennifer Riddle,she/they,Diane Green,he/they
Jennifer Riddle,she/they,Anna Wood,she/they
Jennifer Riddle,she/they,Valerie Jones,he/they
Jennifer Riddle,she/they,Keith Miller,he/they
