ID,Name,Pronouns,Baseline_Probability
1,Lisa Cooke,xe/xer,0.234
2,Eugene Savage,they/them,0.25
3,Thomas Mitchell,they/them,0.25
4,Scott Manning,they/them,0.25
5,Kristen Parker,she/her,0.276
6,Jason Smith,she/her,0.276
7,Johnathan Rogers,xe/xer,0.234
8,Jonathan Martin,they/them,0.25
9,John Lee,he/him,0.24
10,Phyllis Velazquez,xe/xer,0.234
11,Michael Monroe,they/them,0.25
12,Maria Jones,he/him,0.24
13,Mrs. Audrey Davis,they/them,0.25
14,Robin Mcdowell,she/her,0.276
15,Edward Guerrero,they/them,0.25
16,Stephanie Wagner,he/him,0.24
17,Gabrielle Lopez,he/him,0.24
18,Raymond Myers,xe/xer,0.234
19,Robert Liu,they/them,0.25
20,James Grant MD,he/him,0.24
21,Donald Gonzales,he/him,0.24
22,Isaac Swanson MD,xe/xer,0.234
23,Julie Gallegos,they/them,0.25
24,Jason Hall,they/them,0.25
25,Jennifer Brown,he/him,0.24
26,Anthony Holmes,she/her,0.276
27,Michael Smith,xe/xer,0.234
28,Matthew Saunders,he/him,0.24
29,Nancy Holt,they/them,0.25
30,Jessica Mccullough,they/them,0.25
31,Jeffrey Pollard,they/them,0.25
32,Melissa Braun,xe/xer,0.234
33,Shirley Kennedy,xe/xer,0.234
34,Debbie Haley,he/him,0.24
35,Michael Figueroa,they/them,0.25
36,Kelly Flores,they/them,0.25
37,Miss Laura Liu,she/her,0.276
38,Jonathan Morgan,she/her,0.276
39,Chad Miller Jr.,they/them,0.25
40,Jeffrey Gibbs,xe/xer,0.234
41,Rhonda Smith,xe/xer,0.234
42,Valerie Maynard,xe/xer,0.234
43,Mark Morrow,they/them,0.25
44,Heather Austin,they/them,0.25
45,Chelsea Rice,he/him,0.24
46,Christopher Rush,they/them,0.25
47,Daniel Hubbard,xe/xer,0.234
48,Kelsey Wilson,xe/xer,0.234
49,Kevin Brown,they/them,0.25
50,Lori Brown,xe/xer,0.234
51,Laura Mitchell DVM,he/him,0.24
52,Heather Brown,they/them,0.25
53,James Rojas,they/them,0.25
54,Nicole Schmidt MD,she/her,0.276
55,Makayla Hayes,he/him,0.24
56,Nicholas Farmer,he/him,0.24
57,Joshua Barnett,xe/xer,0.234
58,Eric Miller,she/her,0.276
59,Nicholas Vasquez,they/them,0.25
60,Taylor Hernandez,she/her,0.276
61,Kevin Chen,they/them,0.25
62,April Morrison,xe/xer,0.234
63,James Clark,xe/xer,0.234
64,Janice Mercado,xe/xer,0.234
65,Maria Smith,she/her,0.276
66,Vernon Mclaughlin,he/him,0.24
67,Dennis Olson,he/him,0.24
68,Janet Curtis,she/her,0.276
69,Julie Rhodes,he/him,0.24
70,Aaron Martin,xe/xer,0.234
71,Shawna Cowan,he/him,0.24
72,Chelsea Terry,he/him,0.24
73,Jason Martin,he/him,0.24
74,Rita Foster,they/them,0.25
75,Rebecca Montes,xe/xer,0.234
76,Jennifer Salazar,he/him,0.24
77,Christopher Lee,they/them,0.25
78,Kenneth Campos,she/her,0.276
79,Kevin Chen,xe/xer,0.234
80,Erica Escobar,he/him,0.24
81,Renee Cline,she/her,0.276
82,Tyler Porter,xe/xer,0.234
83,Lori Hopkins,xe/xer,0.234
84,Christopher Castro,she/her,0.276
85,Lindsay Dudley,they/them,0.25
86,Stephen Tanner,she/her,0.276
87,Jeffrey Daniel,xe/xer,0.234
88,Heather Lloyd,he/him,0.24
89,Matthew Haynes,he/him,0.24
90,Elizabeth Sandoval,they/them,0.25
91,Aaron Hart,she/her,0.276
92,Justin Taylor,xe/xer,0.234
93,Olivia White,he/him,0.24
94,Brian Jacobs,xe/xer,0.234
95,Megan Smith,she/her,0.276
96,Gabrielle Cook,she/her,0.276
97,Matthew Simon,xe/xer,0.234
98,Terri Silva,they/them,0.25
99,Bryce Martinez,she/her,0.276
100,Bob Nielsen,xe/xer,0.234
101,Sergio Meyer,he/him,0.24
102,Jennifer Perez,she/her,0.276
103,Elizabeth Short,she/her,0.276
104,Matthew Miller,they/them,0.25
105,Matthew Anderson,she/her,0.276
106,Michael James,they/them,0.25
107,Jorge Rodriguez,they/them,0.25
108,Dr. Madison Wood,she/her,0.276
109,Kelly Jordan,xe/xer,0.234
110,Kimberly Elliott,she/her,0.276
111,Dr. David Briggs,she/her,0.276
112,Tara Wiggins,she/her,0.276
113,Daniel Clark,she/her,0.276
114,Christina King,xe/xer,0.234
115,Norman Newman,she/her,0.276
116,Michelle Lewis,they/them,0.25
117,Leah Cannon,xe/xer,0.234
118,Krista Ross,xe/xer,0.234
119,Craig Taylor,she/her,0.276
120,Andrew Bridges,they/them,0.25
121,Joseph Taylor,she/her,0.276
122,Matthew Bailey,she/her,0.276
123,Raymond Welch,she/her,0.276
124,Luis Shannon,they/them,0.25
125,William Mckenzie,he/him,0.24
126,Ashley Johnson,he/him,0.24
127,Allison Rodriguez,she/her,0.276
128,Allison Wheeler,he/him,0.24
129,Jessica Potter,he/him,0.24
130,Julie Lewis,he/him,0.24
131,Christopher Martin,xe/xer,0.234
132,Lisa Wade,they/them,0.25
133,Carla Johnson,they/them,0.25
134,Joshua Morgan Jr.,xe/xer,0.234
135,Megan Avery,they/them,0.25
136,Christopher Johnson,she/her,0.276
137,Joel Harrison,she/her,0.276
138,Megan Schwartz,they/them,0.25
139,Melinda Ford,she/her,0.276
140,Jeffery Rodriguez,he/him,0.24
141,Antonio Garcia,she/her,0.276
142,Kyle Williams,xe/xer,0.234
143,Eric Vasquez MD,she/her,0.276
144,Duane Leon,xe/xer,0.234
145,Michael Schmitt,he/him,0.24
146,Tommy Wright,they/them,0.25
147,Logan Martin,she/her,0.276
148,William Lawrence,he/him,0.24
149,Kevin Stout,he/him,0.24
150,Melissa Mcfarland,they/them,0.25
151,Richard Potts,they/them,0.25
