ID,Name,Pronouns,Concentration,N_Connections,KL_Divergence,prior_mean_she_her,prior_mean_he_him,prior_mean_xe_xer,prior_mean_they_them,prior_mean_she_they,prior_mean_he_they,post_mean_she_her,post_mean_he_him,post_mean_xe_xer,post_mean_they_them,post_mean_she_they,post_mean_he_they
151,Susan Nguyen,she/her,7.294,3,0.15409,0.4923,0.287,0.0119,0.0648,0.0897,0.0543,0.3488,0.2034,0.0085,0.2402,0.1607,0.0385
240,Anthony Crawford,she/they,9.938,3,0.14749,0.3881,0.4331,0.0047,0.1037,0.0549,0.0155,0.2981,0.3326,0.0809,0.1569,0.0421,0.0892
235,Mr. Christopher Levy,she/her,6.503,2,0.12413,0.3543,0.1056,0.0119,0.304,0.0457,0.1786,0.271,0.3159,0.0091,0.2325,0.0349,0.1366
297,Donna Patterson,he/him,7.047,2,0.12265,0.4736,0.3023,0.0142,0.0886,0.0551,0.0661,0.3689,0.2355,0.0111,0.29,0.0429,0.0515
284,Holly Elliott,she/they,7.863,3,0.11804,0.435,0.378,0.0879,0.0556,0.0182,0.0252,0.3149,0.3657,0.0636,0.2244,0.0132,0.0182
190,Dylan Blackwell,she/her,9.548,3,0.11453,0.4897,0.2208,0.0079,0.2252,0.0167,0.0398,0.3726,0.2477,0.006,0.1714,0.0127,0.1897
258,Janice Lamb,she/her,7.08,3,0.11252,0.365,0.243,0.088,0.0807,0.174,0.0494,0.3555,0.1707,0.0618,0.2551,0.1222,0.0347
259,Dawn Clay,they/them,6.519,1,0.10941,0.4485,0.1845,0.0469,0.1579,0.0131,0.1491,0.3889,0.16,0.0406,0.1369,0.1443,0.1293
203,Brent Gonzalez,they/them,8.825,3,0.10637,0.2493,0.3727,0.1219,0.0587,0.0927,0.1046,0.2706,0.2782,0.091,0.213,0.0692,0.0781
79,Craig Thomas,she/her,6.78,2,0.10452,0.6531,0.1329,0.0326,0.0581,0.0919,0.0315,0.5043,0.2165,0.0251,0.0448,0.071,0.1382
87,Christopher Shaw,she/her,6.682,2,0.10423,0.2667,0.3749,0.0418,0.1659,0.0424,0.1082,0.2053,0.2885,0.1474,0.1277,0.0327,0.1985
10,Christian Heath,he/they,6.172,1,0.09534,0.4469,0.2546,0.1053,0.0846,0.0292,0.0795,0.3846,0.2191,0.0906,0.0728,0.1645,0.0684
113,Christopher Salazar,she/her,9.346,3,0.09488,0.3545,0.3149,0.0254,0.1798,0.0896,0.0357,0.2684,0.3194,0.1002,0.1361,0.0679,0.108
23,Andrew Reynolds,he/him,7.173,3,0.09282,0.1426,0.2982,0.1152,0.1043,0.1719,0.1678,0.2972,0.2103,0.0812,0.0736,0.2195,0.1183
207,Joseph Reeves,she/her,8.325,3,0.09103,0.4416,0.3735,0.0144,0.0653,0.0914,0.0137,0.3246,0.4512,0.0106,0.048,0.0672,0.0984
231,Heidi Vasquez,he/they,7.187,2,0.0908,0.3077,0.349,0.0764,0.1909,0.0086,0.0674,0.2407,0.273,0.1686,0.1494,0.0067,0.1616
160,Trevor Chavez,she/her,7.732,3,0.09076,0.2104,0.387,0.1218,0.1913,0.0176,0.0718,0.1516,0.372,0.1809,0.1379,0.1059,0.0517
269,Richard Hudson MD,she/they,9.598,3,0.0872,0.1518,0.4138,0.0489,0.0975,0.178,0.11,0.1156,0.3152,0.0373,0.2331,0.1356,0.1632
132,Michael Goodwin,he/him,11.35,3,0.08671,0.2496,0.4742,0.074,0.0459,0.0723,0.084,0.2671,0.3751,0.0585,0.1757,0.0572,0.0665
110,Cynthia Olsen,she/her,8.053,3,0.08598,0.3324,0.4116,0.0135,0.0952,0.0982,0.0492,0.2422,0.3904,0.0098,0.2503,0.0715,0.0359
68,Frank Brooks,she/her,9.775,3,0.08427,0.2335,0.5726,0.0249,0.0205,0.0882,0.0603,0.1787,0.5164,0.019,0.0157,0.0675,0.2027
267,Joseph Mathis,they/them,8.704,3,0.08396,0.225,0.2793,0.0104,0.3598,0.0934,0.0322,0.1673,0.2931,0.0077,0.2676,0.2404,0.0239
202,Casey Montgomery,she/they,8.752,1,0.08385,0.2087,0.3981,0.0151,0.269,0.0996,0.0095,0.1873,0.3572,0.0135,0.2415,0.0894,0.111
99,Drew Stone,he/him,7.827,2,0.08362,0.3751,0.4472,0.015,0.0766,0.071,0.0151,0.4006,0.3562,0.012,0.061,0.0565,0.1138
174,Jason Lopez,they/them,8.516,2,0.08233,0.1165,0.2351,0.0253,0.4928,0.071,0.0593,0.2846,0.1904,0.0205,0.3991,0.0575,0.048
181,Brian Fox,he/they,9.787,3,0.08196,0.2528,0.4832,0.0227,0.0767,0.1408,0.0239,0.2717,0.3698,0.0174,0.2151,0.1078,0.0183
288,Timothy Stewart,they/them,7.625,2,0.08077,0.1582,0.3893,0.0189,0.3521,0.0309,0.0505,0.1253,0.4123,0.1189,0.279,0.0245,0.04
114,Stephanie Murphy,he/him,11.503,1,0.07898,0.3707,0.1882,0.001,0.258,0.0922,0.0899,0.3411,0.1731,0.0809,0.2374,0.0848,0.0827
52,Darryl Wagner,she/her,8.762,2,0.07563,0.6077,0.2053,0.0424,0.0211,0.0464,0.077,0.4948,0.2601,0.0345,0.1101,0.0378,0.0627
226,Carl Gray,xe/xer,8.713,2,0.07397,0.3022,0.4335,0.0373,0.1628,0.036,0.0282,0.2458,0.3526,0.0304,0.2257,0.0293,0.1163
164,Ms. Nancy Mitchell,she/her,6.981,3,0.07282,0.3678,0.3113,0.0294,0.188,0.0388,0.0646,0.5578,0.2177,0.0206,0.1315,0.0271,0.0452
12,Kimberly Adams,he/him,10.547,3,0.07235,0.4386,0.2811,0.0904,0.11,0.0133,0.0665,0.3414,0.2927,0.0704,0.1595,0.0842,0.0518
84,Andrew Collier,he/him,9.136,2,0.06968,0.4884,0.2655,0.0193,0.1097,0.082,0.0349,0.4007,0.3077,0.1056,0.09,0.0673,0.0287
293,Tracy Young,he/him,7.708,3,0.0687,0.1983,0.7066,0.0154,0.045,0.0208,0.014,0.2361,0.602,0.0111,0.0324,0.1083,0.0101
156,Steven Young,she/her,8.346,2,0.06794,0.295,0.3823,0.0499,0.1613,0.0745,0.037,0.238,0.3084,0.0402,0.3235,0.0601,0.0299
66,Mike Stevens,she/her,9.669,3,0.06789,0.3005,0.4363,0.0061,0.0944,0.1034,0.0594,0.2294,0.4119,0.0046,0.2299,0.0789,0.0453
180,Scott Herring,he/they,8.643,3,0.06786,0.3823,0.4599,0.0065,0.0914,0.0398,0.0202,0.3697,0.3414,0.0048,0.1537,0.1155,0.015
115,Carlos Smith,they/them,10.92,1,0.0675,0.2653,0.4862,0.008,0.1649,0.0222,0.0535,0.243,0.4454,0.0912,0.1511,0.0204,0.049
22,Susan Myers,they/them,7.367,3,0.06629,0.2433,0.3524,0.0113,0.3166,0.0449,0.0315,0.2694,0.3469,0.008,0.225,0.0319,0.1189
294,Jennifer Price,he/him,9.417,1,0.06601,0.4175,0.4098,0.0181,0.0576,0.0587,0.0383,0.3774,0.3705,0.1124,0.0521,0.053,0.0346
16,Alexis Copeland,he/him,10.081,2,0.06475,0.5335,0.2296,0.0233,0.083,0.0884,0.0421,0.4452,0.1916,0.0195,0.152,0.0738,0.1179
261,Steve Ferguson,she/her,5.925,3,0.0647,0.4333,0.2135,0.1446,0.0374,0.1121,0.0591,0.3997,0.3659,0.096,0.0248,0.0744,0.0393
300,Paul Norton,she/her,8.792,2,0.06406,0.2396,0.3588,0.0242,0.0222,0.0474,0.3079,0.1952,0.385,0.1124,0.0181,0.0386,0.2508
255,Joseph Sloan,they/them,9.248,3,0.06224,0.2495,0.4276,0.0483,0.1378,0.0336,0.1033,0.1884,0.4045,0.0365,0.1041,0.107,0.1596
149,Carol Hill,she/her,8.817,3,0.06154,0.3536,0.4022,0.1285,0.0506,0.0284,0.0366,0.3485,0.3001,0.1805,0.0378,0.0212,0.1119
112,Philip Brown,he/him,10.942,3,0.06127,0.1657,0.5264,0.0838,0.1352,0.0639,0.025,0.2018,0.4131,0.0658,0.1778,0.0502,0.0913
216,Mary White,she/her,10.751,3,0.06083,0.3858,0.246,0.0419,0.1728,0.0728,0.0807,0.3016,0.1923,0.1054,0.2078,0.0569,0.1358
209,Ellen Scott,they/them,11.86,2,0.05996,0.3656,0.2535,0.0496,0.2549,0.0335,0.0428,0.3129,0.2169,0.1146,0.2181,0.0287,0.1088
45,Christine Murphy,they/them,9.754,3,0.05912,0.3278,0.2441,0.018,0.3159,0.0304,0.0638,0.3291,0.2651,0.0922,0.2416,0.0232,0.0488
18,Alan Morgan,she/her,9.201,2,0.05909,0.3883,0.1929,0.169,0.1727,0.039,0.0381,0.319,0.2477,0.1388,0.1419,0.032,0.1206
239,Mario Williams,he/him,9.845,2,0.059,0.2365,0.3877,0.0405,0.1181,0.087,0.1302,0.1965,0.3223,0.1181,0.0981,0.0723,0.1927
103,Dawn Rivera,they/them,9.299,2,0.05895,0.2073,0.2801,0.0367,0.382,0.0696,0.0243,0.1706,0.2305,0.0302,0.4029,0.0573,0.1085
225,Mary Lopez,he/they,5.836,2,0.05844,0.2642,0.2987,0.0516,0.1127,0.1079,0.165,0.3244,0.2225,0.0384,0.2115,0.0803,0.1229
219,John Cohen,he/him,9.888,2,0.05793,0.2501,0.4456,0.0041,0.2154,0.056,0.0288,0.208,0.3706,0.0034,0.2633,0.0466,0.108
133,Michelle Miller,he/him,8.217,3,0.05649,0.2528,0.4291,0.0364,0.1905,0.0169,0.0744,0.1852,0.4035,0.1158,0.2287,0.0123,0.0545
254,Matthew Hoffman,he/him,6.426,3,0.05319,0.1334,0.3787,0.0048,0.1318,0.1672,0.184,0.091,0.4703,0.0033,0.1959,0.114,0.1254
188,Kristen Oconnor,they/them,9.88,3,0.05295,0.1104,0.2028,0.0516,0.4147,0.0684,0.1521,0.1624,0.3108,0.0396,0.3181,0.0525,0.1167
24,Susan Carpenter,he/him,10.276,3,0.05187,0.4582,0.222,0.0105,0.033,0.1858,0.0904,0.3547,0.2472,0.0081,0.1009,0.2191,0.07
119,Juan Reynolds,he/him,10.316,1,0.05185,0.3298,0.5192,0.0083,0.0657,0.0506,0.0264,0.3007,0.4733,0.0075,0.0599,0.0462,0.1124
129,Rebecca Turner,he/him,11.02,3,0.05182,0.3819,0.2641,0.0372,0.1849,0.0903,0.0416,0.3002,0.2789,0.0292,0.1453,0.1423,0.104
245,Dale Hanson,they/them,6.809,2,0.05102,0.3194,0.4593,0.0357,0.0766,0.0229,0.086,0.3604,0.355,0.0276,0.0592,0.0177,0.18
2,Richard Snow,he/they,9.53,2,0.05063,0.3342,0.3272,0.0296,0.207,0.0553,0.0467,0.2762,0.2704,0.0245,0.2578,0.0457,0.1253
3,Tina Bailey,he/they,9.323,2,0.04898,0.1981,0.373,0.0311,0.314,0.0173,0.0664,0.3398,0.3071,0.0256,0.2586,0.0143,0.0547
