Name_From,Pronouns_From,Name_To,Pronouns_To
Joanne Carr,xe/xer,Rachel Klein,they/them
Joanne Carr,xe/xer,Ronald Myers,she/her
Joanne Carr,xe/xer,Patricia Ferguson,she/her
Patricia Thompson,they/them,Cory Rodriguez,they/them
Patricia Thompson,they/them,Russell Dixon,they/them
Harold Johnson,they/them,Travis Johnson,they/them
Harold Johnson,they/them,Gary Snyder,they/them
Jill Kirby,xe/xer,Joanne Carr,xe/xer
Kristen Anthony,he/him,April Johnson,they/them
Kristen Anthony,he/him,Patricia Coffey,she/her
Kristen Anthony,he/him,Deborah Peters,they/them
Michael Patel,xe/xer,Crystal Bennett,they/them
Marc Richardson,they/them,Michelle Miller,xe/xer
Loretta Moss,xe/xer,Carol Farrell,she/her
Loretta Moss,xe/xer,Jonathan Wright,she/her
Loretta Moss,xe/xer,Sabrina Jones,she/her
James Fox,they/them,John Ferguson,he/him
James Fox,they/them,Trevor Aguilar,they/them
James Fox,they/them,James Johnston,he/him
Susan Morgan,they/them,Sarah Mueller,she/her
Susan Morgan,they/them,Patricia Thompson,they/them
Jeff Ross,they/them,Emily Doyle,they/them
Jeff Ross,they/them,Brian Mccormick,they/them
Jeff Ross,they/them,Shawn Collins,xe/xer
Troy Vargas,they/them,Emily Doyle,they/them
Troy Vargas,they/them,Dorothy Schwartz,he/him
Troy Vargas,they/them,Vincent Walker,xe/xer
Carol Farrell,she/her,John Ferguson,he/him
Randall Smith,xe/xer,Suzanne Moore,he/him
Randall Smith,xe/xer,Harold Johnson,they/them
Steven Wilson,they/them,Robert George,they/them
Steven Wilson,they/them,Patricia Thompson,they/them
Steven Wilson,they/them,Jacob Shaw,she/her
Michelle Miller,xe/xer,Susan Morgan,they/them
Michelle Miller,xe/xer,Patricia Thompson,they/them
Michelle Miller,xe/xer,Troy Vargas,they/them
Megan Krause,they/them,Randy Lynch DDS,she/her
Megan Krause,they/them,Travis Johnson,they/them
John Ferguson,he/him,Richard Moon,she/her
John Ferguson,he/him,Brandi Bryant,he/him
Richard Moon,she/her,Ronald Myers,she/her
Richard Moon,she/her,Megan Krause,they/them
Jason Lane,he/him,Carolyn Summers,xe/xer
Jason Lane,he/him,Michael Patel,xe/xer
Jason Lane,he/him,Brandi Bryant,he/him
Russell Dixon,they/them,Gary Snyder,they/them
Russell Dixon,they/them,Brooke Duncan,he/him
Dorothy Schwartz,he/him,April Johnson,they/them
Dorothy Schwartz,he/him,Lindsey Hudson,they/them
Dorothy Schwartz,he/him,Edward Rose,xe/xer
Lindsey Hudson,they/them,Patricia Brewer,she/her
