ID,Name,Pronouns,affinity_she_her,affinity_he_him,affinity_they_them,affinity_xe_xer,affinity_she_they,affinity_he_they,User_Group,Base_Pronoun_List
1,Charles Gonzalez,xe/xer,0.406644120453396,0.29109697825060976,0.09995942740457987,0.10752482018001715,0.09009688660890672,0.00467776710249039,xe,['xe']
2,Krista Delgado,he/they,0.33420412667223004,0.32719325751612605,0.20702585131183665,0.029622950072310843,0.05526272698922788,0.04669108743826871,he/they,"['he', 'they']"
3,Kelli Khan,he/they,0.1981343739013267,0.3729734878535687,0.3140279304475044,0.03112555804442695,0.017337008945112364,0.06640164080806078,he/they,"['he', 'they']"
4,Megan Mcconnell,she/her,0.3420724726836872,0.3037806795963637,0.1176501933690255,0.015557037029932582,0.004310396285231677,0.21662922103575952,she,['she']
5,Heather Montgomery,she/they,0.45915549854892457,0.18456880925959365,0.05781752765765412,0.06757122823735558,0.16045023759273325,0.07043669870373878,she/they,"['she', 'they']"
6,Scott Cherry,he/him,0.3683055849197911,0.32279620481184096,0.09656806492101958,0.08199779893334794,0.054896962481394106,0.07543538393260626,he,['he']
7,Thomas Pierce,they/them,0.35693518301206645,0.2712999531424014,0.08019060276830685,0.07250072810770401,0.11856512944275177,0.10050840352676944,they,['they']
8,Joseph Bennett,she/her,0.4448174334689138,0.22795474596626628,0.11092421761430012,0.021019485259662168,0.098543248317291,0.09674086937356674,she,['she']
9,Carolyn Davis,he/him,0.2798368549720633,0.46168088090444087,0.1514647087004506,0.042785141382566866,0.04386079665304948,0.020371617387428913,he,['he']
10,Emily Ayala,he/they,0.4468996922126193,0.254645709143782,0.08455096347129233,0.10526489343141829,0.029150865392394053,0.07948787634849402,he/they,"['he', 'they']"
11,Jesse Terry,he/they,0.24874086755121108,0.28262727279713756,0.23982421220022057,0.01963509554566468,0.06471974056793367,0.14445281133783242,he/they,"['he', 'they']"
12,Sharon Calhoun,he/him,0.4385584584169812,0.28111735091867723,0.11002308572684764,0.09044791341097307,0.013321162528902718,0.06653202899761798,he,['he']
13,Joy Patton,she/her,0.13860636932308174,0.239016967453581,0.10628547148268419,0.07000467565619489,0.22072091502406163,0.22536560106039655,she,['she']
14,Gloria Thompson,she/her,0.5565477260944617,0.16641319556438847,0.17483317466956894,0.04432862315300613,0.011526987512815024,0.04635029300575962,she,['she']
15,Jonathon Kline,xe/xer,0.2546007054277394,0.31749828992565665,0.21961420976753399,0.06616106153345881,0.07230140742027542,0.06982432592533591,xe,['xe']
16,Robert Hunt,he/him,0.5335318892623763,0.22959073038637254,0.08299721191416554,0.023336573145092777,0.08844331807513732,0.04210027721685555,he,['he']
17,Bradley Gray,he/him,0.17567894618429497,0.49414088801610523,0.055994208220737036,0.1004597629044171,0.06410607468633402,0.1096201199881117,he,['he']
18,Courtney Clark,she/her,0.38829248570659475,0.1928681744044612,0.17272326783780625,0.16900520461819574,0.0389845376028755,0.03812632983006665,she,['she']
19,Richard Miller,he/him,0.3817223728541309,0.36826687619109777,0.07412931156099219,0.13465431887892698,0.009489201704334533,0.03173791881051776,he,['he']
20,Hannah Rollins,he/him,0.24522249341136032,0.49680792375561256,0.11978757654241488,0.04388523822772458,0.028931252053804205,0.06536551600908344,he,['he']
21,Angelica Ford,he/they,0.4028498217671215,0.301546441349289,0.08995362479634449,0.02911141121751629,0.06047444811621585,0.1160642527535128,he/they,"['he', 'they']"
22,Janet Mckinney,they/them,0.243332004846537,0.3523781981227509,0.31662634211920004,0.011258362304321718,0.04485690710544913,0.031548185501741245,they,['they']
23,Miss Diana White,he/him,0.142598709184349,0.29821547218092476,0.10433184128591758,0.1152045928151699,0.1718814706811053,0.16776791385253345,he,['he']
24,Gerald Howard,he/him,0.45821020079702945,0.22201657335768657,0.03299580837765573,0.010529026242486231,0.18581521867477338,0.0904331725503686,he,['he']
25,Vincent Kirk,she/her,0.2727811472376928,0.38289241324008083,0.1358130465885293,0.07274552929941372,0.09844925257148053,0.03731861106280287,she,['she']
26,Tyler Myers,he/they,0.20551879237900048,0.4190033047903166,0.16950836933785088,0.020155515868941175,0.10775742807262498,0.07805658955126596,he/they,"['he', 'they']"
27,Rachel Guerrero,she/her,0.43051726716625643,0.39088470453881397,0.07267637401536878,0.01158004271345594,0.059028015053906695,0.03531359651219807,she,['she']
